Athlete Name,First Game,Sport,Sport Event,Medal Won,Home Country,Host Country,Game Name,Game Season,Year
Ki Taik KIM,Seoul 1988,Table Tennis,Singles men,SILVER,Republic of Korea,Republic of Korea,Seoul 1988,Summer,1988
Erik LINDH,Seoul 1988,Table Tennis,Singles men,BRONZE,Sweden,Republic of Korea,Seoul 1988,Summer,1988
Hui-Fen LI,Seoul 1988,Table Tennis,Singles women,SILVER,People's Republic of China,Republic of Korea,Seoul 1988,Summer,1988
Zhi-Min JIAO,Seoul 1988,Table Tennis,Singles women,BRONZE,People's Republic of China,Republic of Korea,Seoul 1988,Summer,1988
Yulia KARIMOVA,Tokyo 2020,Shooting,50m Rifle 3 Positions women,BRONZE,ROC,Japan,Tokyo 2020,Summer,2020
Yulia ZYKOVA,Tokyo 2020,Shooting,50m Rifle 3 Positions women,SILVER,ROC,Japan,Tokyo 2020,Summer,2020
Changhong ZHANG,Tokyo 2020,Shooting,50m Rifle 3 Positions Men,GOLD,People's Republic of China,Japan,Tokyo 2020,Summer,2020
Lihao SHENG,Tokyo 2020,Shooting,10m Air Rifle Men,SILVER,People's Republic of China,Japan,Tokyo 2020,Summer,2020
William SHANER,Tokyo 2020,Shooting,10m Air Rifle Men,GOLD,United States of America,Japan,Tokyo 2020,Summer,2020
Qian YANG,Tokyo 2020,Shooting,10m Air Rifle women,GOLD,People's Republic of China,Japan,Tokyo 2020,Summer,2020
Anastasiia GALASHINA,Tokyo 2020,Shooting,10m Air Rifle women,SILVER,ROC,Japan,Tokyo 2020,Summer,2020
Matthew John COWARD HOLLEY,Tokyo 2020,Shooting,Trap Men,BRONZE,Great Britain,Japan,Tokyo 2020,Summer,2020
Amber ENGLISH,Tokyo 2020,Shooting,Skeet women,GOLD,United States of America,Japan,Tokyo 2020,Summer,2020
Kayle BROWNING,Tokyo 2020,Shooting,Trap women,SILVER,United States of America,Japan,Tokyo 2020,Summer,2020
Ranxin JIANG,Tokyo 2020,Shooting,10m Air Pistol women,BRONZE,People's Republic of China,Japan,Tokyo 2020,Summer,2020
Jiaruixuan XIAO,Tokyo 2020,Shooting,25m Pistol Women,BRONZE,People's Republic of China,Japan,Tokyo 2020,Summer,2020
Javad FOROUGHI,Tokyo 2020,Shooting,10m Air Pistol Men,GOLD,Islamic Republic of Iran,Japan,Tokyo 2020,Summer,2020
Abdullah ALRASHIDI,Tokyo 2020,Shooting,Skeet Men,BRONZE,Kuwait,Japan,Tokyo 2020,Summer,2020
Siyi XIE,Tokyo 2020,Diving,Men's 3m Springboard,GOLD,People's Republic of China,Japan,Tokyo 2020,Summer,2020
Zongyuan WANG,Tokyo 2020,Diving,Men's 3m Springboard,SILVER,People's Republic of China,Japan,Tokyo 2020,Summer,2020
Hongchan QUAN,Tokyo 2020,Diving,Women's 10m Platform,GOLD,People's Republic of China,Japan,Tokyo 2020,Summer,2020
Yuxi CHEN,Tokyo 2020,Diving,Women's 10m Platform,SILVER,People's Republic of China,Japan,Tokyo 2020,Summer,2020
Jian YANG,Tokyo 2020,Diving,Men's 10m Platform,SILVER,People's Republic of China,Japan,Tokyo 2020,Summer,2020
Krysta PALMER,Tokyo 2020,Diving,Women's 3m Springboard,BRONZE,United States of America,Japan,Tokyo 2020,Summer,2020
Han WANG,Tokyo 2020,Diving,Women's 3m Springboard,SILVER,People's Republic of China,Japan,Tokyo 2020,Summer,2020
Liudmyla LUZAN,Tokyo 2020,Canoe Sprint,Women's Canoe Single 200m,BRONZE,Ukraine,Japan,Tokyo 2020,Summer,2020
Laurence VINCENT-LAPOINTE,Tokyo 2020,Canoe Sprint,Women's Canoe Single 200m,SILVER,Canada,Japan,Tokyo 2020,Summer,2020
Nevin HARRISON,Tokyo 2020,Canoe Sprint,Women's Canoe Single 200m,GOLD,United States of America,Japan,Tokyo 2020,Summer,2020
Hao LIU,Tokyo 2020,Canoe Sprint,Men's Canoe Single 1000m,SILVER,People's Republic of China,Japan,Tokyo 2020,Summer,2020
Adam VARGA,Tokyo 2020,Canoe Sprint,Men's Kayak Single 1000m,SILVER,Hungary,Japan,Tokyo 2020,Summer,2020
Marlen REUSSER,Tokyo 2020,Cycling Road,Women's Individual Time Trial,SILVER,Switzerland,Japan,Tokyo 2020,Summer,2020
Anna KIESENHOFER,Tokyo 2020,Cycling Road,Women's Road Race,GOLD,Austria,Japan,Tokyo 2020,Summer,2020
Wout VAN AERT,Tokyo 2020,Cycling Road,Men's Road Race,SILVER,Belgium,Japan,Tokyo 2020,Summer,2020
Tadej POGACAR,Tokyo 2020,Cycling Road,Men's Road Race,BRONZE,Slovenia,Japan,Tokyo 2020,Summer,2020
Richard CARAPAZ,Tokyo 2020,Cycling Road,Men's Road Race,GOLD,Ecuador,Japan,Tokyo 2020,Summer,2020
Andrei ZAMKOVOI,Tokyo 2020,Boxing,Men's Welter (63-69kg),BRONZE,ROC,Japan,Tokyo 2020,Summer,2020
Aidan WALSH,Tokyo 2020,Boxing,Men's Welter (63-69kg),BRONZE,Ireland,Japan,Tokyo 2020,Summer,2020
Hebert SOUSA,Tokyo 2020,Boxing,Men's Middle (69-75kg),GOLD,Brazil,Japan,Tokyo 2020,Summer,2020
Eumir MARCIAL,Tokyo 2020,Boxing,Men's Middle (69-75kg),BRONZE,Philippines,Japan,Tokyo 2020,Summer,2020
Oleksandr KHYZHNIAK,Tokyo 2020,Boxing,Men's Middle (69-75kg),SILVER,Ukraine,Japan,Tokyo 2020,Summer,2020
Gleb BAKSHI,Tokyo 2020,Boxing,Men's Middle (69-75kg),BRONZE,ROC,Japan,Tokyo 2020,Summer,2020
Kamshybek KUNKABAYEV,Tokyo 2020,Boxing,Men's Super Heavy (+91kg),BRONZE,Kazakhstan,Japan,Tokyo 2020,Summer,2020
Richard TORREZ JR,Tokyo 2020,Boxing,Men's Super Heavy (+91kg),SILVER,United States of America,Japan,Tokyo 2020,Summer,2020
Frazer CLARKE,Tokyo 2020,Boxing,Men's Super Heavy (+91kg),BRONZE,Great Britain,Japan,Tokyo 2020,Summer,2020
Imam KHATAEV,Tokyo 2020,Boxing,Men's Light Heavy (75-81kg),BRONZE,ROC,Japan,Tokyo 2020,Summer,2020
Loren Berto ALFONSO DOMINGUEZ,Tokyo 2020,Boxing,Men's Light Heavy (75-81kg),BRONZE,Azerbaijan,Japan,Tokyo 2020,Summer,2020
Benjamin WHITTAKER,Tokyo 2020,Boxing,Men's Light Heavy (75-81kg),SILVER,Great Britain,Japan,Tokyo 2020,Summer,2020
Duke RAGAN,Tokyo 2020,Boxing,Men's Feather (52-57kg),SILVER,United States of America,Japan,Tokyo 2020,Summer,2020
Samuel TAKYI,Tokyo 2020,Boxing,Men's Feather (52-57kg),BRONZE,Ghana,Japan,Tokyo 2020,Summer,2020
Albert BATYRGAZIEV,Tokyo 2020,Boxing,Men's Feather (52-57kg),GOLD,ROC,Japan,Tokyo 2020,Summer,2020
Muslim GADZHIMAGOMEDOV,Tokyo 2020,Boxing,Men's Heavy (81-91kg),SILVER,ROC,Japan,Tokyo 2020,Summer,2020
Abner TEIXEIRA,Tokyo 2020,Boxing,Men's Heavy (81-91kg),BRONZE,Brazil,Japan,Tokyo 2020,Summer,2020
David NYIKA,Tokyo 2020,Boxing,Men's Heavy (81-91kg),BRONZE,New Zealand,Japan,Tokyo 2020,Summer,2020
Julio LA CRUZ PERAZA,Tokyo 2020,Boxing,Men's Heavy (81-91kg),GOLD,Cuba,Japan,Tokyo 2020,Summer,2020
Lauren PRICE,Tokyo 2020,Boxing,Women's Middle (69-75kg),GOLD,Great Britain,Japan,Tokyo 2020,Summer,2020
Zenfira MAGOMEDALIEVA,Tokyo 2020,Boxing,Women's Middle (69-75kg),BRONZE,ROC,Japan,Tokyo 2020,Summer,2020
Beatriz FERREIRA,Tokyo 2020,Boxing,Women's Light (57-60kg),SILVER,Brazil,Japan,Tokyo 2020,Summer,2020
Kellie Anne HARRINGTON,Tokyo 2020,Boxing,Women's Light (57-60kg),GOLD,Ireland,Japan,Tokyo 2020,Summer,2020
Sudaporn SEESONDEE,Tokyo 2020,Boxing,Women's Light (57-60kg),BRONZE,Thailand,Japan,Tokyo 2020,Summer,2020
Oshae JONES,Tokyo 2020,Boxing,Women's Welter (64-69kg),BRONZE,United States of America,Japan,Tokyo 2020,Summer,2020
Hong GU,Tokyo 2020,Boxing,Women's Welter (64-69kg),SILVER,People's Republic of China,Japan,Tokyo 2020,Summer,2020
Busenaz SURMENELI,Tokyo 2020,Boxing,Women's Welter (64-69kg),GOLD,Turkey,Japan,Tokyo 2020,Summer,2020
Lovlina BORGOHAIN,Tokyo 2020,Boxing,Women's Welter (64-69kg),BRONZE,India,Japan,Tokyo 2020,Summer,2020
Tsukimi NAMIKI,Tokyo 2020,Boxing,Women's Fly (48-51kg),BRONZE,Japan,Japan,Tokyo 2020,Summer,2020
Stoyka Zhelyazkova KRASTEVA,Tokyo 2020,Boxing,Women's Fly (48-51kg),GOLD,Bulgaria,Japan,Tokyo 2020,Summer,2020
Buse Naz CAKIROGLU,Tokyo 2020,Boxing,Women's Fly (48-51kg),SILVER,Turkey,Japan,Tokyo 2020,Summer,2020
Hsiao-Wen HUANG,Tokyo 2020,Boxing,Women's Fly (48-51kg),BRONZE,Chinese Taipei,Japan,Tokyo 2020,Summer,2020
Carlo PAALAM,Tokyo 2020,Boxing,Men's Fly (48-52kg),SILVER,Philippines,Japan,Tokyo 2020,Summer,2020
Ryomei TANAKA,Tokyo 2020,Boxing,Men's Fly (48-52kg),BRONZE,Japan,Japan,Tokyo 2020,Summer,2020
Saken BIBOSSINOV,Tokyo 2020,Boxing,Men's Fly (48-52kg),BRONZE,Kazakhstan,Japan,Tokyo 2020,Summer,2020
Sena IRIE,Tokyo 2020,Boxing,Women's Feather (54-57kg),GOLD,Japan,Japan,Tokyo 2020,Summer,2020
Nesthy PETECIO,Tokyo 2020,Boxing,Women's Feather (54-57kg),SILVER,Philippines,Japan,Tokyo 2020,Summer,2020
Karriss ARTINGSTALL,Tokyo 2020,Boxing,Women's Feather (54-57kg),BRONZE,Great Britain,Japan,Tokyo 2020,Summer,2020
Harrison GARSIDE,Tokyo 2020,Boxing,Men's Light (57-63kg),BRONZE,Australia,Japan,Tokyo 2020,Summer,2020
Keyshawn DAVIS,Tokyo 2020,Boxing,Men's Light (57-63kg),SILVER,United States of America,Japan,Tokyo 2020,Summer,2020
Andy CRUZ,Tokyo 2020,Boxing,Men's Light (57-63kg),GOLD,Cuba,Japan,Tokyo 2020,Summer,2020
Kye WHYTE,Tokyo 2020,Cycling BMX Racing,Men,SILVER,Great Britain,Japan,Tokyo 2020,Summer,2020
Bethany SHRIEVER,Tokyo 2020,Cycling BMX Racing,Women,GOLD,Great Britain,Japan,Tokyo 2020,Summer,2020
Merel SMULDERS,Tokyo 2020,Cycling BMX Racing,Women,BRONZE,Netherlands,Japan,Tokyo 2020,Summer,2020
Georgia TAYLOR-BROWN,Tokyo 2020,Triathlon,Women's Individual,SILVER,Great Britain,Japan,Tokyo 2020,Summer,2020
Alex YEE,Tokyo 2020,Triathlon,Men's Individual,SILVER,Great Britain,Japan,Tokyo 2020,Summer,2020
Hayden WILDE,Tokyo 2020,Triathlon,Men's Individual,BRONZE,New Zealand,Japan,Tokyo 2020,Summer,2020
Carissa MOORE,Tokyo 2020,Surfing,Women,GOLD,United States of America,Japan,Tokyo 2020,Summer,2020
Bianca BUITENDAG,Tokyo 2020,Surfing,Women,SILVER,South Africa,Japan,Tokyo 2020,Summer,2020
Amuro TSUZUKI,Tokyo 2020,Surfing,Women,BRONZE,Japan,Japan,Tokyo 2020,Summer,2020
Zhendong FAN,Tokyo 2020,Table Tennis,Men's Singles,SILVER,People's Republic of China,Japan,Tokyo 2020,Summer,2020
Meng CHEN,Tokyo 2020,Table Tennis,Women's Singles,GOLD,People's Republic of China,Japan,Tokyo 2020,Summer,2020
Yingsha SUN,Tokyo 2020,Table Tennis,Women's Singles,SILVER,People's Republic of China,Japan,Tokyo 2020,Summer,2020
Mallory FRANKLIN,Tokyo 2020,Canoe Slalom,Women's Canoe,SILVER,Great Britain,Japan,Tokyo 2020,Summer,2020
Andrea HERZOG,Tokyo 2020,Canoe Slalom,Women's Canoe,BRONZE,Germany,Japan,Tokyo 2020,Summer,2020
Ricarda FUNK,Tokyo 2020,Canoe Slalom,Women's Kayak,GOLD,Germany,Japan,Tokyo 2020,Summer,2020
Lukas ROHAN,Tokyo 2020,Canoe Slalom,Men's Canoe,SILVER,Czech Republic,Japan,Tokyo 2020,Summer,2020
Kareena LEE,Tokyo 2020,Marathon Swimming,Women's 10km,BRONZE,Australia,Japan,Tokyo 2020,Summer,2020
Ivan LITVINOVICH,Tokyo 2020,Trampoline Gymnastics,Men,GOLD,Belarus,Japan,Tokyo 2020,Summer,2020
Xueying ZHU,Tokyo 2020,Trampoline Gymnastics,Women,GOLD,People's Republic of China,Japan,Tokyo 2020,Summer,2020
Lingling LIU,Tokyo 2020,Trampoline Gymnastics,Women,SILVER,People's Republic of China,Japan,Tokyo 2020,Summer,2020
Hakan RECBER,Tokyo 2020,Taekwondo,Men -68kg,BRONZE,Turkey,Japan,Tokyo 2020,Summer,2020
Ulugbek RASHITOV,Tokyo 2020,Taekwondo,Men -68kg,GOLD,Uzbekistan,Japan,Tokyo 2020,Summer,2020
Bradly SINDEN,Tokyo 2020,Taekwondo,Men -68kg,SILVER,Great Britain,Japan,Tokyo 2020,Summer,2020
Saleh ELSHARABATY,Tokyo 2020,Taekwondo,Men -80kg,SILVER,Jordan,Japan,Tokyo 2020,Summer,2020
Seif EISSA,Tokyo 2020,Taekwondo,Men -80kg,BRONZE,Egypt,Japan,Tokyo 2020,Summer,2020
Maksim KHRAMTCOV,Tokyo 2020,Taekwondo,Men -80kg,GOLD,ROC,Japan,Tokyo 2020,Summer,2020
Toni KANAET,Tokyo 2020,Taekwondo,Men -80kg,BRONZE,Croatia,Japan,Tokyo 2020,Summer,2020
Vladislav LARIN,Tokyo 2020,Taekwondo,Men +80kg,GOLD,ROC,Japan,Tokyo 2020,Summer,2020
Kyo Don IN,Tokyo 2020,Taekwondo,Men +80kg,BRONZE,Republic of Korea,Japan,Tokyo 2020,Summer,2020
Dejan GEORGIEVSKI,Tokyo 2020,Taekwondo,Men +80kg,SILVER,North Macedonia,Japan,Tokyo 2020,Summer,2020
Dabin LEE,Tokyo 2020,Taekwondo,Women +67kg,SILVER,Republic of Korea,Japan,Tokyo 2020,Summer,2020
Althea LAURIN,Tokyo 2020,Taekwondo,Women +67kg,BRONZE,France,Japan,Tokyo 2020,Summer,2020
Matea JELIC,Tokyo 2020,Taekwondo,Women -67kg,GOLD,Croatia,Japan,Tokyo 2020,Summer,2020
Lauren WILLIAMS,Tokyo 2020,Taekwondo,Women -67kg,SILVER,Great Britain,Japan,Tokyo 2020,Summer,2020
Tatiana KUDASHOVA,Tokyo 2020,Taekwondo,Women -57kg,SILVER,ROC,Japan,Tokyo 2020,Summer,2020
Hatice Kubra ILGUN,Tokyo 2020,Taekwondo,Women -57kg,BRONZE,Turkey,Japan,Tokyo 2020,Summer,2020
Anastasija ZOLOTIC,Tokyo 2020,Taekwondo,Women -57kg,GOLD,United States of America,Japan,Tokyo 2020,Summer,2020
Chia-Ling LO,Tokyo 2020,Taekwondo,Women -57kg,BRONZE,Chinese Taipei,Japan,Tokyo 2020,Summer,2020
Mikhail ARTAMONOV,Tokyo 2020,Taekwondo,Men -58kg,BRONZE,ROC,Japan,Tokyo 2020,Summer,2020
Vito DELL'AQUILA,Tokyo 2020,Taekwondo,Men -58kg,GOLD,Italy,Japan,Tokyo 2020,Summer,2020
Jun JANG,Tokyo 2020,Taekwondo,Men -58kg,BRONZE,Republic of Korea,Japan,Tokyo 2020,Summer,2020
Mohamed Khalil JENDOUBI,Tokyo 2020,Taekwondo,Men -58kg,SILVER,Tunisia,Japan,Tokyo 2020,Summer,2020
Abishag SEMBERG,Tokyo 2020,Taekwondo,Women -49kg,BRONZE,Israel,Japan,Tokyo 2020,Summer,2020
Adriana CEREZO IGLESIAS,Tokyo 2020,Taekwondo,Women -49kg,SILVER,Spain,Japan,Tokyo 2020,Summer,2020
Harrie LAVREYSEN,Tokyo 2020,Cycling Track,Men's Sprint,GOLD,Netherlands,Japan,Tokyo 2020,Summer,2020
Jack CARLIN,Tokyo 2020,Cycling Track,Men's Sprint,BRONZE,Great Britain,Japan,Tokyo 2020,Summer,2020
Shanne BRASPENNINCX,Tokyo 2020,Cycling Track,Women's Keirin,GOLD,Netherlands,Japan,Tokyo 2020,Summer,2020
Kelsey MITCHELL,Tokyo 2020,Cycling Track,Women's Sprint,GOLD,Canada,Japan,Tokyo 2020,Summer,2020
Ellesse ANDREWS,Tokyo 2020,Cycling Track,Women's Keirin,SILVER,New Zealand,Japan,Tokyo 2020,Summer,2020
Lauriane GENEST,Tokyo 2020,Cycling Track,Women's Keirin,BRONZE,Canada,Japan,Tokyo 2020,Summer,2020
Olena STARIKOVA,Tokyo 2020,Cycling Track,Women's Sprint,SILVER,Ukraine,Japan,Tokyo 2020,Summer,2020
Campbell STEWART,Tokyo 2020,Cycling Track,Men's Omnium,SILVER,New Zealand,Japan,Tokyo 2020,Summer,2020
Matthew WALLS,Tokyo 2020,Cycling Track,Men's Omnium,GOLD,Great Britain,Japan,Tokyo 2020,Summer,2020
Yumi KAJIHARA,Tokyo 2020,Cycling Track,Women's Omnium,SILVER,Japan,Japan,Tokyo 2020,Summer,2020
Katrina LEHIS,Tokyo 2020,Fencing,Women's Épée Individual,BRONZE,Estonia,Japan,Tokyo 2020,Summer,2020
Gergely SIKLOSI,Tokyo 2020,Fencing,Men's Épée Individual,SILVER,Hungary,Japan,Tokyo 2020,Summer,2020
Romain CANNONE,Tokyo 2020,Fencing,Men's Épée Individual,GOLD,France,Japan,Tokyo 2020,Summer,2020
Igor REIZLIN,Tokyo 2020,Fencing,Men's Épée Individual,BRONZE,Ukraine,Japan,Tokyo 2020,Summer,2020
Sofia POZDNIAKOVA,Tokyo 2020,Fencing,Women's Sabre Individual,GOLD,ROC,Japan,Tokyo 2020,Summer,2020
Anthony Sinisuka GINTING,Tokyo 2020,Badminton,Men's Singles,BRONZE,Indonesia,Japan,Tokyo 2020,Summer,2020
Yu Fei CHEN,Tokyo 2020,Badminton,Women's Singles,GOLD,People's Republic of China,Japan,Tokyo 2020,Summer,2020
Alberto GINES LOPEZ,Tokyo 2020,Sport Climbing,Men's Combined,GOLD,Spain,Japan,Tokyo 2020,Summer,2020
Nathaniel COLEMAN,Tokyo 2020,Sport Climbing,Men's Combined,SILVER,United States of America,Japan,Tokyo 2020,Summer,2020
Jakob SCHUBERT,Tokyo 2020,Sport Climbing,Men's Combined,BRONZE,Austria,Japan,Tokyo 2020,Summer,2020
Janja GARNBERT,Tokyo 2020,Sport Climbing,Women's Combined,GOLD,Slovenia,Japan,Tokyo 2020,Summer,2020
Akiyo NOGUCHI,Tokyo 2020,Sport Climbing,Women's Combined,BRONZE,Japan,Japan,Tokyo 2020,Summer,2020
Miho NONAKA,Tokyo 2020,Sport Climbing,Women's Combined,SILVER,Japan,Japan,Tokyo 2020,Summer,2020
Thomas Patrick GILMAN,Tokyo 2020,Wrestling,Men's Freestyle 57kg,BRONZE,United States of America,Japan,Tokyo 2020,Summer,2020
Zavur UGUEV,Tokyo 2020,Wrestling,Men's Freestyle 57kg,GOLD,ROC,Japan,Tokyo 2020,Summer,2020
Ravi Kumar Dahiya,Tokyo 2020,Wrestling,Men's Freestyle 57kg,SILVER,India,Japan,Tokyo 2020,Summer,2020
Qianyu PANG,Tokyo 2020,Wrestling,Women's Freestyle 53kg,SILVER,People's Republic of China,Japan,Tokyo 2020,Summer,2020
Mayu MUKAIDA,Tokyo 2020,Wrestling,Women's Freestyle 53kg,GOLD,Japan,Japan,Tokyo 2020,Summer,2020
Bolortuya BAT OCHIR,Tokyo 2020,Wrestling,Women's Freestyle 53kg,BRONZE,Mongolia,Japan,Tokyo 2020,Summer,2020
Vanesa KALADZINSKAYA,Tokyo 2020,Wrestling,Women's Freestyle 53kg,BRONZE,Belarus,Japan,Tokyo 2020,Summer,2020
Musa EVLOEV,Tokyo 2020,Wrestling,Men's Greco-Roman 97kg,GOLD,ROC,Japan,Tokyo 2020,Summer,2020
Tadeusz MICHALIK,Tokyo 2020,Wrestling,Men's Greco-Roman 97kg,BRONZE,Poland,Japan,Tokyo 2020,Summer,2020
Mohammadhadi SARAVI,Tokyo 2020,Wrestling,Men's Greco-Roman 97kg,BRONZE,Islamic Republic of Iran,Japan,Tokyo 2020,Summer,2020
Mahamedkhabib KADZIMAHAMEDAU,Tokyo 2020,Wrestling,Men's Freestyle 74kg,SILVER,Belarus,Japan,Tokyo 2020,Summer,2020
Kyle Douglas DAKE,Tokyo 2020,Wrestling,Men's Freestyle 74kg,BRONZE,United States of America,Japan,Tokyo 2020,Summer,2020
Zaurbek SIDAKOV,Tokyo 2020,Wrestling,Men's Freestyle 74kg,GOLD,ROC,Japan,Tokyo 2020,Summer,2020
Gadzhimurad RASHIDOV,Tokyo 2020,Wrestling,Men's Freestyle 65kg,BRONZE,ROC,Japan,Tokyo 2020,Summer,2020
Haji ALIYEV,Tokyo 2020,Wrestling,Men's Freestyle 65kg,SILVER,Azerbaijan,Japan,Tokyo 2020,Summer,2020
Bajrang BAJRANG,Tokyo 2020,Wrestling,Men's Freestyle 65kg,BRONZE,India,Japan,Tokyo 2020,Summer,2020
Takuto OTOGURO,Tokyo 2020,Wrestling,Men's Freestyle 65kg,GOLD,Japan,Japan,Tokyo 2020,Summer,2020
David Morris TAYLOR III,Tokyo 2020,Wrestling,Men's Freestyle 86kg,GOLD,United States of America,Japan,Tokyo 2020,Summer,2020
Artur NAIFONOV,Tokyo 2020,Wrestling,Men's Freestyle 86kg,BRONZE,ROC,Japan,Tokyo 2020,Summer,2020
Myles Nazem AMINE,Tokyo 2020,Wrestling,Men's Freestyle 86kg,BRONZE,San Marino,Japan,Tokyo 2020,Summer,2020
Rafig HUSEYNOV,Tokyo 2020,Wrestling,Men's Greco-Roman 77kg,BRONZE,Azerbaijan,Japan,Tokyo 2020,Summer,2020
Akzhol MAKHMUDOV,Tokyo 2020,Wrestling,Men's Greco-Roman 77kg,SILVER,Kyrgyzstan,Japan,Tokyo 2020,Summer,2020
Shohei YABIKU,Tokyo 2020,Wrestling,Men's Greco-Roman 77kg,BRONZE,Japan,Japan,Tokyo 2020,Summer,2020
Meerim ZHUMANAZAROVA,Tokyo 2020,Wrestling,Women's Freestyle 68kg,BRONZE,Kyrgyzstan,Japan,Tokyo 2020,Summer,2020
Tamyra Mariama MENSAH STOCK,Tokyo 2020,Wrestling,Women's Freestyle 68kg,GOLD,United States of America,Japan,Tokyo 2020,Summer,2020
Yui SUSAKI,Tokyo 2020,Wrestling,Women's Freestyle 50kg,GOLD,Japan,Japan,Tokyo 2020,Summer,2020
Sarah Ann HILDEBRANDT,Tokyo 2020,Wrestling,Women's Freestyle 50kg,BRONZE,United States of America,Japan,Tokyo 2020,Summer,2020
Mohammadreza GERAEI,Tokyo 2020,Wrestling,Men's Greco-Roman 67kg,GOLD,Islamic Republic of Iran,Japan,Tokyo 2020,Summer,2020
Mohamed Ibrahim Elsayed ELSAYED,Tokyo 2020,Wrestling,Men's Greco-Roman 67kg,BRONZE,Egypt,Japan,Tokyo 2020,Summer,2020
Parviz NASIBOV,Tokyo 2020,Wrestling,Men's Greco-Roman 67kg,SILVER,Ukraine,Japan,Tokyo 2020,Summer,2020
Qian ZHOU,Tokyo 2020,Wrestling,Women's Freestyle 76kg,BRONZE,People's Republic of China,Japan,Tokyo 2020,Summer,2020
Kenichiro FUMITA,Tokyo 2020,Wrestling,Men's Greco-Roman 60kg,SILVER,Japan,Japan,Tokyo 2020,Summer,2020
Luis Alberto ORTA SANCHEZ,Tokyo 2020,Wrestling,Men's Greco-Roman 60kg,GOLD,Cuba,Japan,Tokyo 2020,Summer,2020
Sailike WALIHAN,Tokyo 2020,Wrestling,Men's Greco-Roman 60kg,BRONZE,People's Republic of China,Japan,Tokyo 2020,Summer,2020
Sergey EMELIN,Tokyo 2020,Wrestling,Men's Greco-Roman 60kg,BRONZE,ROC,Japan,Tokyo 2020,Summer,2020
Evelina Georgieva NIKOLOVA,Tokyo 2020,Wrestling,Women's Freestyle 57kg,BRONZE,Bulgaria,Japan,Tokyo 2020,Summer,2020
Iryna KURACHKINA,Tokyo 2020,Wrestling,Women's Freestyle 57kg,SILVER,Belarus,Japan,Tokyo 2020,Summer,2020
Amir Hossein ZARE,Tokyo 2020,Wrestling,Men's Freestyle 125kg,BRONZE,Islamic Republic of Iran,Japan,Tokyo 2020,Summer,2020
Gable Dan STEVESON,Tokyo 2020,Wrestling,Men's Freestyle 125kg,GOLD,United States of America,Japan,Tokyo 2020,Summer,2020
Yukako KAWAI,Tokyo 2020,Wrestling,Women's Freestyle 62kg,GOLD,Japan,Japan,Tokyo 2020,Summer,2020
Iryna KOLIADENKO,Tokyo 2020,Wrestling,Women's Freestyle 62kg,BRONZE,Ukraine,Japan,Tokyo 2020,Summer,2020
Abraham de Jesus CONYEDO RUANO,Tokyo 2020,Wrestling,Men's Freestyle 97kg,BRONZE,Italy,Japan,Tokyo 2020,Summer,2020
Abdulrashid SADULAEV,Tokyo 2020,Wrestling,Men's Freestyle 97kg,GOLD,ROC,Japan,Tokyo 2020,Summer,2020
Karen KHACHANOV,Tokyo 2020,Tennis,Men's Singles,SILVER,ROC,Japan,Tokyo 2020,Summer,2020
Pablo CARRENO BUSTA,Tokyo 2020,Tennis,Men's Singles,BRONZE,Spain,Japan,Tokyo 2020,Summer,2020
Alexander ZVEREV,Tokyo 2020,Tennis,Men's Singles,GOLD,Germany,Japan,Tokyo 2020,Summer,2020
Belinda BENCIC,Tokyo 2020,Tennis,Women's Singles,GOLD,Switzerland,Japan,Tokyo 2020,Summer,2020
Marketa VONDROUSOVA,Tokyo 2020,Tennis,Women's Singles,SILVER,Czech Republic,Japan,Tokyo 2020,Summer,2020
Seojeong YEO,Tokyo 2020,Artistic Gymnastics,Women's Vault,BRONZE,Republic of Korea,Japan,Tokyo 2020,Summer,2020
Jade CAREY,Tokyo 2020,Artistic Gymnastics,Women's Floor Exercise,GOLD,United States of America,Japan,Tokyo 2020,Summer,2020
Mykayla SKINNER,Tokyo 2020,Artistic Gymnastics,Women's Vault,SILVER,United States of America,Japan,Tokyo 2020,Summer,2020
Daiki HASHIMOTO,Tokyo 2020,Artistic Gymnastics,Men's All-Around,GOLD,Japan,Japan,Tokyo 2020,Summer,2020
